Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Brazil,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Morocco,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Haiti,0,0,0,0,0,0,0,0,Possible knockout stage based on ranking
4,Scotland,0,0,0,0,0,0,0,0,
