Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Spain,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Cape Verde,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Saudi Arabia,0,0,0,0,0,0,0,0,Possible knockout stage based on ranking
4,Uruguay,0,0,0,0,0,0,0,0,
