Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,France,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Senegal,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Iraq,0,0,0,0,0,0,0,0,Possible knockout stage based on ranking
4,Norway,0,0,0,0,0,0,0,0,
